Address.City,ID,Name,FaxNumber,BeginTime.MF,ThruTime.MF,IsOpen.Sat,IsOpen.Sun
Pensacola,686,Pensacola,(850) 466-4685,08:00:00,23:00:00,TRUE,TRUE
Knoxville,2815,Knoxville South,(865) 291-5488,07:00:00,22:00:00,FALSE,TRUE
Knoxville,1370,Farragut,,08:00:00,23:00:00,TRUE,TRUE
Franklin,695,Cool Springs,(615) 472-9691,08:00:00,23:00:00,TRUE,TRUE
Knoxville,151,Knoxville West,(865) 291-4819,08:00:00,23:00:00,TRUE,FALSE
Brentwood,1983,Brentwood,(615) 208-8402,08:00:00,23:00:00,TRUE,TRUE
Mount Juliet,2126,Mt Juliet,,08:00:00,22:00:00,TRUE,TRUE
Pensacola,2445,Pensacola West,(850) 454-3010,08:00:00,22:00:00,TRUE,TRUE
Knoxville,795,Knoxville NW,,08:00:00,22:00:00,TRUE,TRUE
Simpsonville,1870,Simpsonville,(864) 757-3201,08:00:00,22:00:00,TRUE,TRUE
Nashville,1059,Nashville East,(615) 925-3840,08:00:00,22:00:00,TRUE,FALSE
Nashville,146,White Bridge,(615) 970-3683,08:00:00,23:00:00,TRUE,TRUE
Greenville,1182,Greenville,(864) 558-2543,08:00:00,23:00:00,TRUE,TRUE
Nashville,2240,Nashville West,(615) 970-3895,08:00:00,23:00:00,TRUE,TRUE
Daphne,1274,Daphne,(251) 287-9804,08:00:00,22:00:00,TRUE,TRUE
Knoxville,2057,Knoxville North,(865) 291-4757,08:00:00,22:00:00,TRUE,TRUE
Aiken,1310,Aiken,(803) 295-5701,08:00:00,22:00:00,TRUE,TRUE
Mobile,797,Bel-Air,(251) 287-9863,08:00:00,22:00:00,TRUE,TRUE
Taylors,1937,Greer,(864) 416-5786,08:00:00,23:00:00,TRUE,FALSE
Madison,144,Rivergate,(615) 756-3261,08:00:00,22:00:00,TRUE,TRUE
Hendersonville,1511,Hendersonville,(615) 431-3581,08:00:00,22:00:00,TRUE,TRUE
Mobile,1376,Mobile West,(251) 287-9784,08:00:00,23:00:00,TRUE,TRUE
Gulf Shores,2154,Gulf Shores,,08:00:00,22:00:00,TRUE,TRUE
Arden,2011,Asheville South,(828) 974-3269,08:00:00,22:00:00,TRUE,FALSE
Spartanburg,1349,Spartanburg,(864) 345-6000,08:00:00,22:00:00,TRUE,TRUE
Asheville,1807,Asheville,(828) 333-9991,08:00:00,23:00:00,TRUE,TRUE
Jackson,921,Jackson,(731) 256-3707,08:00:00,22:00:00,FALSE,TRUE
Collierville,1907,Collierville,(901) 471-2051,08:00:00,22:00:00,TRUE,TRUE
Germantown,682,Germantown,(901) 251-4411,08:00:00,22:00:00,TRUE,TRUE
Cordova,1844,Cordova,(901) 251-0368,08:00:00,23:00:00,TRUE,FALSE
Olive Branch,2442,Olive Branch West,(662) 892-3041,08:00:00,22:00:00,TRUE,TRUE
Memphis,1030,Memphis NE,(901) 251-5411,08:00:00,23:00:00,TRUE,FALSE
Memphis,2474,Memphis East,(901) 261-5089,08:00:00,23:00:00,TRUE,FALSE
